Number of hours worked last week,Marital status,Highest year of school completed,Rs income in constant $,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
49,Married,13,15925,Good,Yes,4,-1,Pisces
40,Divorced,11,3185,Fair,No,3,-1,Aquarius
10,Married,12,2695,Fair,No,2,-1,Capricorn
50,Married,14,11638,Good,Yes,2,-1,Leo
40,Married,12,18375,Excellent,Yes,2,-1,Cancer
40,Never married,13,15925,Fair,No,4,-1,Taurus
40,Never married,12,10413,Fair,No,2,-1,Libra
50,Married,16,49000,Fair,Yes,3,-1,Libra
40,Married,12,26950,Excellent,No,3,-1,Aquarius
15,Never married,12,1715,Good,No,0,-1,Leo
55,Married,16,26950,Excellent,Yes,1,-1,Virgo
8,Widowed,12,3675,Fair,Yes,2,-1,Cancer
40,Married,12,26950,Good,Yes,2,-1,Aries
70,Never married,12,40425,Excellent,No,3,-1,Cancer
36,Divorced,16,11638,Good,No,1,-1,Taurus
25,Never married,13,3675,Excellent,No,2,-1,Cancer
40,Never married,13,5513,Good,No,3,-1,Sagittarius
50,Never married,16,3675,Excellent,No,2,-1,Pisces
52,Married,12,15925,Fair,Yes,2,-1,Libra
40,Divorced,13,26950,Excellent,Yes,1,-1,Sagittarius
4,Never married,14,1715,Good,Yes,0,-1,Aquarius
55,Divorced,17,980,Good,Yes,1,-1,Virgo
52,Divorced,12,13475,Good,Yes,0,-1,Gemini
60,Married,14,341672,Good,Yes,1,-1,Aquarius
